Protein,A/N 1,A/N 2,A/N 3,A/N 4,A/N 5,A/N 6,A/N 7,A/N 8,A/N 9,A/N 10,A/N 11,A/N 12,A/N 13,A/N 14,A/N 15,A/N 16,A/N 17,A/N 18,A/N 19,A/N 20,A/N 21,A/N 22,A/N 23,A/N 24,A/N 25,A/N 26,A/N 27,A/N 28,A/N 29,A/N 30,,,,,,0,0
B7Z3I2,0.14846809,0.821572079,0.468067295,-0.188716693,1.411800881,0.028366111,0.113002684,-0.013665377,0.072295451,0.275338589,0.09334607,0.188150301,0.09183983,-0.044198074,0.120062216,0.010015813,0.010518107,0.24425342,-0.414789891,0.206853516,0.107951304,-0.169940199,0.190406283,-0.409098496,0.490327454,0.187535403,0.060215745,0.345354439,-0.431931324,-0.478567453,,,,,,,
B7Z6B8,-0.110033584,-0.333075379,0.600610648,-0.020030389,-0.301827665,-0.065096046,0.063032104,-0.084695673,-0.058636733,0.122806635,-0.123127196,-0.152116543,0.488833633,0.144473478,-0.083582048,0.322039502,0.506576035,0.089780878,0.108646929,0.020147421,0.289955064,0.727630521,0.441689588,-0.4337281,0.230377711,0.70776725,-0.372759856,0.103631544,0.217714465,0.337588659,,,,,,,
B8ZWD6,-0.016859533,-0.409780465,-0.496963617,-0.392227149,-1.217416645,0.002791195,0.055493341,-0.265446142,-0.148108219,-0.232411019,-0.119809318,0.012603445,0.104284614,0.10024725,0.081093429,0.3745124,0.466013205,-0.335615234,-0.307275101,0.038775464,0.049612924,-0.403404134,0.44723032,-0.204958393,-0.082992483,-0.116120982,0.251723392,0.340209975,-0.724753624,-0.543157186,,,,,,,
C9IZE4,0.40752062,0.652411818,0.038033453,0.171494567,0.490332964,0.259311011,-0.007031669,-0.053535386,-0.021116238,0.233629598,0.005884934,0.069905013,-0.131379731,-0.038368928,0.054615628,0.942641542,0.829556793,0.32290398,0.730206167,0.795125278,0.530317638,-0.604535777,1.446774968,1.101019679,0.512957391,0.353961467,0.155258173,0.4842562,0.659234201,-0.460346264,,,,,,,
C9J9K3,0.438900166,0.418847947,-0.491516692,0.182474116,0.128774613,0.002918363,0.115504894,0.023354165,-0.02844641,0.141445077,-0.130283977,-0.076104523,-0.034426134,-0.074414442,0.019833886,0.303834142,0.711823256,0.290478963,0.261402994,-0.064530298,-0.109702539,0.02244776,-0.477475315,-0.108647274,0.472638599,0.132195197,-0.037246424,0.003820043,0.072401458,0.005812976,,,,,,,
C9JIF9,-0.105660192,-0.097969925,-0.328812087,-0.136690739,-0.714410083,-0.15764262,-0.197108302,-0.087532021,0.007788278,-0.130932804,0.077944602,-0.190808056,0.078756146,-0.026417635,0.0043118,-0.398461748,0.361020728,-0.23576795,-0.328688631,-0.031758454,-0.186813431,-0.668509405,0.512424815,-0.285706979,0.032369917,0.111467378,-0.094467545,0.324528964,0.032993041,-0.151441615,,,,,,,
C9JPG0,-0.547662339,-1.050689259,-1.192417056,0.154977784,-0.941550179,-0.165409164,-0.215432919,-0.026085129,-0.093889104,0.001778623,-0.253223412,-0.553173158,-0.32016731,0.089886413,-0.048998529,-0.741351707,-0.039890424,-1.086758954,0.386229817,-1.791138248,-0.170436353,-0.991113569,-0.452977612,0.057871458,-0.377431416,-1.012854435,-0.277869456,-1.049309166,-0.365746862,-1.127016363,,,,,,,
D6RH22,0.733567443,-0.240630098,-0.100150651,0.239926641,2.46031968,0.510605827,0.186385212,-0.036461243,0.08205275,-0.17111576,0.207923764,-0.160091834,-0.126437482,-0.257803542,0.188701557,1.129597588,1.100608868,0.527213772,1.516832991,0.503038341,-0.180352307,1.675311376,1.611924508,0.953113165,1.517416828,-9.123602371,1.094992079,0.214110162,-0.208019195,0.822690073,,,,,,,
E5KNY5,0.088001828,-0.788810522,0.616753246,-0.019302114,-0.368599861,0.01592747,0.049933095,-0.009637111,-0.057407302,0.12775116,-0.193865583,-0.051249757,0.580450484,0.132695013,0.048186556,0.709468031,0.618065658,0.388356842,-0.031716385,0.260648351,0.149512924,-0.464034541,0.235398644,0.585697462,0.023160144,0.464000998,-0.252641713,-0.17081205,-0.324115081,0.223242187,,,,,,,
E7EPK6,0.279920806,-0.123493315,0.031527254,0.430673836,-0.33539175,-0.040075901,0.186465065,0.09212392,-0.00494707,0.05055833,0.016347114,0.038075072,0.047045361,0.227719026,-0.153801416,0.604371755,0.503323434,0.115259608,0.26049546,0.391375332,0.171776777,-0.52819923,0.332381882,-0.020302337,0.485921558,0.308426943,0.160696409,0.291938746,0.159177714,-0.097291623,,,,,,,
E7EQU1,0.286210304,0.052928148,0.155703571,0.263256252,0.228090079,0.026908836,-0.042683461,0.161931847,-0.206729524,0.155572722,0.121750191,0.098545879,0.55401479,0.510812896,0.088815419,8.440488313,-1.738849547,7.531521149,0.095996025,0.293453253,0.29001648,-0.15565574,0.871537604,0.278295255,1.078926092,-1.06603385,0.514546171,-0.081285064,0.702811258,0.433356323,,,,,,,
E7EQZ3,0.126047712,-0.48968591,0.352030298,0.314300596,-0.443366342,-0.025904464,0.010596071,0.186479781,0.078455037,0.053129383,0.262978392,0.184882836,-0.117591574,0.280170489,0.079497193,0.84069079,0.686389949,-0.175257348,-0.03842811,0.101659824,-0.207159006,-0.275543535,0.216661597,-0.388268408,-0.189351742,0.526549953,-0.322533945,0.10808617,0.369909857,-0.305073887,,,,,,,
E7EQZ9,0.121504646,0.370954925,-0.162165297,0.052746663,0.709633301,0.027557319,0.04636716,-0.079054973,0.051592119,0.112340298,0.121963372,-0.000885628,-0.318900442,0.219100003,0.071590787,0.288129227,0.292512484,-0.441302767,0.24410664,0.719344443,-0.093268045,-0.059954162,0.724597167,0.332482081,0.192603769,0.566100112,0.285966442,-0.116515343,-0.009467359,-0.12157301,,,,,,,
E7EVU8,0.27861893,0.473306016,-0.284180796,-0.691612338,-0.271782677,0.403530794,-0.033516162,0.075950005,0.083806315,0.146535156,0.090318289,0.134286412,0.172244334,0.168478135,-0.142937666,-0.362360243,-0.024832263,-0.210831297,-0.148255984,0.338219617,0.282516058,-3.319298189,-5.564153465,-0.186818822,-1.049852016,-0.288871641,-0.146174286,-0.419576323,0.203405083,-0.717481734,,,,,,,
E9PEI9,0.805771606,-0.603454019,-0.693572388,0.326307637,0.198029618,-0.095873782,-0.15244108,0.23112317,0.055787153,-0.540039283,0.070904856,-0.19894328,-0.154317261,-0.633583692,-0.030638702,1.522274173,0.772232944,1.484069044,0.201252926,-5.156664291,0.175952887,-2.079260684,5.950554552,5.613625831,1.724698359,-0.429315365,0.524289166,0.067587774,-0.206040174,0.127788783,,,,,,,
E9PER8,-0.102848288,-0.523040318,-0.526470388,0.042925914,0.15432205,0.083900748,-0.022698334,0.069205488,-0.024576258,0.239223676,-0.070201274,-0.308334781,-0.26487791,-0.011047772,0.487098203,7.689575585,7.611898179,-0.446519553,1.862031522,1.777820969,0.381584813,0.160272191,0.573164154,0.438690687,0.384848526,-0.906628944,0.181345835,0.351928493,-0.747241651,0.163726673,,,,,,,
E9PR30,1.016516526,0.628247307,-0.007941714,0.796444328,0.803345479,0.135086759,0.450242893,-0.046724129,0.269102542,0.573412183,0.344274313,0.283875347,0.114598216,0.554388235,-0.072818036,1.426250749,1.483780669,1.597243369,-0.134870074,0.847004596,0.275166543,0.393393664,0.626863057,0.406506352,1.198157317,0.775621638,0.48872867,0.569269492,0.615465658,0.176069543,,,,,,,
F2Z3D0,0.46027193,0.198745085,-0.203757868,0.471998135,0.345165981,0.32438074,0.273689628,0.190347125,0.12982661,0.123642013,0.009120624,0.240416118,-0.151660839,0.26596945,0.126433589,0.512846361,0.259132634,0.222223314,0.41367027,0.177669271,0.311706742,0.082344252,-0.036056085,-0.124326403,1.179345037,-0.01654526,0.225816124,0.029139141,0.960529121,-0.472722288,,,,,,,
F5H098,-0.085208755,0.192083332,0.044480221,-0.126677223,0.041887158,0.088482464,0.139360063,-0.067475018,0.024594062,-0.005716575,0.023282041,-0.001086457,0.120046976,-0.057912535,0.063857575,-0.303911212,0.3384588,-0.469435141,0.448963451,0.18445022,0.338709187,0.223053943,0.261245758,-0.093978772,0.215780798,-0.074473609,-0.233791415,0.004459337,-0.23830503,0.095662802,,,,,,,
F5H0F5,0.477186559,0.808208327,0.255213393,0.447072534,0.297639529,0.241648572,0.161303769,-0.080418715,0.207091389,-0.396277543,0.406287604,0.067612696,0.393244787,0.049037761,0.522690038,0.091947392,1.467034534,0.273768873,0.613814946,1.54788063,0.755055329,-0.258838409,1.081295733,0.758115699,0.429416296,0.497682234,0.482920238,0.777238856,0.510550556,0.552628343,,,,,,,
F5H0Q5,-0.729735998,0.45013254,-0.463171143,0.223838006,-0.925326977,-0.378628097,-1.191646072,-0.016779039,-0.209097257,-0.244405433,0.592898895,-0.374435556,0.377881505,-0.340274491,0.128996127,-0.963380026,0.027118674,-0.567188183,-0.452174859,-0.118612319,-1.332269184,0.018715275,-0.952802804,-0.801503565,-0.629383288,0.11456605,-0.418116205,0.117239093,-0.495368821,-0.948447584,,,,,,,
F5H3A1,0.015746491,-0.712951712,0.703852427,-0.152446765,-0.214606542,0.000945316,0.114516236,-0.00818454,-0.01198952,-0.189285694,-0.03466094,0.110612912,0.037955059,-0.053498178,0.064383607,0.072155871,0.079635713,-0.086978335,0.035395083,0.299491369,0.257596409,0.664838839,0.212441846,-0.218785596,0.121801588,0.608473246,-0.305158857,-0.204502271,-0.607961504,0.236359863,,,,,,,
F5H6K0,0.467634897,0.110395087,0.346816399,0.409325302,0.179523197,0.046869964,0.121417074,0.110548129,0.21445197,0.065649166,0.05286592,0.018940828,-0.002216759,-0.051132217,0.18588884,0.728432258,0.486335171,0.025654355,0.479349476,0.242662564,0.332358874,0.156080155,-0.000164703,0.302365598,0.291075469,0.374663755,0.21508493,0.19527908,0.627805631,-0.254503118,,,,,,,
F8VPJ2,-0.170141676,-0.216050278,-0.476521535,-0.417617622,-0.437674197,-0.226777808,-0.027786806,-0.002544521,0.010171022,-0.227205743,0.022956653,0.051080762,-0.127835262,0.026888231,-0.097332481,0.127349277,-0.139280293,-0.318553051,-0.138490175,-0.096103769,-0.150529987,-0.890534709,0.057588,-0.810313032,0.084714964,0.145926193,-0.589099415,-0.006088038,-0.563822045,-0.102850078,,,,,,,
F8VWA4,0.165695693,-1.052131242,-1.480307165,0.058311386,-1.718856949,-0.402614814,-0.867185706,-0.14682568,-0.003432051,-0.620043262,-8.459462667,-0.899746469,-0.169329932,-0.034581704,0.220183895,-2.392789372,0.572629115,-0.198083684,-7.279529628,-2.285545316,-6.095372504,0,1.859701649,2.038441359,0.257937382,-1.721813,0.435970216,0.254975576,0.988622633,-1.297542249,,,,,,,
F8WCF6,0.052742145,-0.423052134,0.53107982,-0.263319203,0.181464203,0.053400426,0.063382819,-0.035370045,0.014467096,-0.097303976,-0.161588957,-0.050564329,-0.287674232,-0.309424683,0.199377881,-0.116603979,0.548926686,-0.112123241,0.263605669,-0.395697827,-0.307700154,0.72401445,-0.02546001,0.544467582,0.056624227,0.674920243,-0.050746647,0.274998088,0.041399279,-0.107088076,,,,,,,
O00151,0.075016457,-0.077468889,-0.533581081,-0.628563984,-0.206847474,-0.256125537,0.166284341,-0.095279697,-0.033392268,-0.347135229,-0.392581034,-0.073871664,0.060140297,-0.060328966,-0.062348494,-0.156040941,-0.429746342,-0.394765249,0.414924942,-0.157009738,-0.165669287,0.382116014,0.158357596,-0.29387032,0.017233756,0.439727034,-0.127355518,0.328612382,-0.006512573,-0.537482434,,,,,,,
O00161,-0.224464434,-0.917036692,-0.601464445,-0.108479156,-0.735267723,-0.356361831,-0.1162251,0.163162998,0.04391808,0.115165006,-0.913528391,-0.839517027,0.171823583,0.241788721,0.083461159,0.580143232,0.537585897,0.110942581,-0.061667718,-0.079333905,0.316166607,-0.376654473,-0.462894365,-0.381891747,0.471298811,0.694654819,-0.027616084,-0.012506997,-0.419306453,0.068811102,,,,,,,
O00186,0.073711628,0.05527368,0.217542334,0.040406179,1.170610283,0.206117499,-0.03370678,-0.022996437,0.13486238,0.200200253,0.394830899,0.33502221,0.217198517,0.107620572,0.427559252,0.291754166,0.575622159,0.034999265,-0.124410597,0.488839796,0.528395266,0.077933956,0.842357698,0.263599575,0.011303145,0.792387446,0.145535116,0.656731975,-0.394943656,0.489416203,,,,,,,
O00231,0.475877188,0.710485036,0.147174113,0.123625274,0.261081785,0.07594774,-0.009938111,0.049758593,-0.058540082,0.13862708,0.161227764,0.095479698,0.142993669,-0.096091668,0.026516221,0.474618185,0.744342627,0.126105618,0.249741469,0.556436373,0.354448268,-0.28280966,0.570450459,0.791085918,0.340560673,-0.252222717,0.362104619,0.677401132,0.321272813,-0.200790863,,,,,,,
O00232,0.299193567,0.716433122,0.022601933,0.378426488,0.293204365,0.003855654,-0.013754252,-0.015285908,0.012580866,0.091087664,-0.016464705,0.028333378,0.104905851,0.015079709,-0.072535372,0.404019237,0.407560919,0.167165946,0.444507761,0.569611758,0.064065408,-0.31555969,0.185551536,0.150673019,1.161601366,0.765581047,-0.021949195,0.527492953,0.769500764,-0.030162733,,,,,,,
O00267,0.274241057,0.178116084,-0.591984509,0.15323003,-0.461576155,0.018070178,0.204935599,0.164657664,0.071103878,0.149393442,0.075131192,-0.149481629,-0.015136832,0.313968365,-0.037672907,-0.325006364,0.389468232,-0.556318142,-0.76913467,0.765849767,0.127118482,0.495477404,-0.224340797,1.055574728,0.592238228,0.75055682,-0.59217465,0.021882563,0.457363463,-0.666619084,,,,,,,
O00299,0.462372935,0.467757297,-0.071811579,0.488462249,0.985117159,0.185055105,0.04018211,-0.025638297,0.102980413,0.184411477,0.04159862,0.350022377,-0.271065239,-0.080472391,0.093291306,1.330564894,0.553993363,0.947921386,1.153082802,0.649418299,0.704932398,0.582691789,1.149603831,0.98246962,-0.115114915,-0.164706335,0.740967718,0.713546834,0.28597427,0.575101063,,,,,,,
O00479,-0.452155537,-0.307043395,-0.794664253,0.145305169,1.154008168,-0.299963383,-0.118364468,0.11429495,-0.024031565,-0.098823888,-0.162966048,-0.221372417,-0.152378759,0.202221534,-0.303103234,0.013306897,0.056737104,-0.857743769,-0.961849516,-0.385167389,0.091136517,0.177183049,-0.091314114,-0.296746758,-0.173366439,-0.431498796,-0.681531432,0.054197145,0.390656621,0.269505954,,,,,,,
O00487,-0.47207775,-0.14717178,0.069907779,-0.094190834,-0.168703024,-0.112836725,0.092250535,0.144546016,-0.116200303,0.267163043,-0.005835739,0.137746633,-0.157114097,0.291414365,-0.179067983,-0.022684186,0.592882814,0.275838623,1.05134941,0.201891326,0.058145639,-0.374155854,0.120741713,-0.231473209,0.641600324,0.511828829,0.291386836,0.181619648,0.785388154,-0.109751484,,,,,,,
O00534,0.180051057,-0.010629744,0.257063302,-0.068466881,0.299836069,-0.201116645,-0.238961591,-0.06257308,0.054353569,-0.225453133,-0.507634498,0.132604548,0.219051328,-0.177608949,-0.128943428,0.653712916,0.612079932,-0.180573443,-0.241233888,-0.395274125,0.11702579,2.201112541,-6.824699787,5.416495355,0.551156212,-0.315901027,-0.494332836,-0.337062521,-0.08609284,-0.639943805,,,,,,,
O00567,0.343860466,-0.185881438,0.151014146,0.341529298,0.346023354,0.203090126,0.308567286,0.059756884,0.259089421,0.219510581,0.069865508,0.275614525,0.224188643,0.089300685,0.037306481,0.563139006,0.464480517,0.044306786,0.297996199,0.393145332,0.411073235,0.176893842,0.403241821,0.565926272,-0.190423537,0.635099475,0.01914463,-0.1790455,0.322352552,-0.198287012,,,,,,,
